pattern,k,frequency,expected occurrences,percentage
potr,4,18,0.0007329885572341898,0.07329885572341899
r2tn,4,7,0.00028505110559107384,0.028505110559107386
onr,3,9,0.0003664942786170949,0.036649427861709494
2tsp,4,5,0.00020360793256505273,0.020360793256505274
spon,4,6,0.0002443295190780633,0.02443295190780633
ponr,4,2,8.14431730260211e-05,0.00814431730260211
onrn,4,7,0.00028505110559107384,0.028505110559107386
as,2,18,0.0007329885572341898,0.07329885572341899
tas,3,2,8.14431730260211e-05,0.00814431730260211
asr,3,6,0.0002443295190780633,0.02443295190780633
rot,3,12,0.0004886590381561266,0.04886590381561266
2tas,4,1,4.072158651301055e-05,0.004072158651301055
tasr,4,1,4.072158651301055e-05,0.004072158651301055
asro,4,1,4.072158651301055e-05,0.004072158651301055
srot,4,2,8.14431730260211e-05,0.00814431730260211
roto,4,4,0.0001628863460520422,0.01628863460520422
noo,3,33,0.001343812354929348,0.13438123549293482
rnoo,4,8,0.0003257726921040844,0.03257726921040844
noon,4,7,0.00028505110559107384,0.028505110559107386
tooo,4,41,0.0016695850470334324,0.16695850470334325
qnn,3,22,0.000895874903286232,0.0895874903286232
2tqn,4,21,0.0008551533167732215,0.08551533167732214
tqnn,4,11,0.000447937451643116,0.0447937451643116
oas,3,5,0.00020360793256505273,0.020360793256505274
toas,4,3,0.00012216475953903165,0.012216475953903166
oasr,4,2,8.14431730260211e-05,0.00814431730260211
asrn,4,5,0.00020360793256505273,0.020360793256505274
2ttn,4,10,0.00040721586513010546,0.04072158651301055
ttnn,4,11,0.000447937451643116,0.0447937451643116
tono,4,2,8.14431730260211e-05,0.00814431730260211
tnsr,4,6,0.0002443295190780633,0.02443295190780633
ootn,4,10,0.00040721586513010546,0.04072158651301055
3tor,4,12,0.0004886590381561266,0.04886590381561266
nsn,3,10,0.00040721586513010546,0.04072158651301055
1rnr,4,1,4.072158651301055e-05,0.004072158651301055
1st,3,5,0.00020360793256505273,0.020360793256505274
1sto,4,3,0.00012216475953903165,0.012216475953903166
stor,4,4,0.0001628863460520422,0.01628863460520422
ooon,4,29,0.001180926008877306,0.11809260088773059
osp,3,16,0.0006515453842081688,0.06515453842081688
1osp,4,10,0.00040721586513010546,0.04072158651301055
ospo,4,15,0.0006108237976951582,0.061082379769515825
notn,4,1,4.072158651301055e-05,0.004072158651301055
1soo,4,44,0.001791749806572464,0.1791749806572464
1na,3,19,0.0007737101437472004,0.07737101437472003
1pot,4,16,0.0006515453842081688,0.06515453842081688
rtt,3,5,0.00020360793256505273,0.020360793256505274
ortt,4,4,0.0001628863460520422,0.01628863460520422
rttr,4,2,8.14431730260211e-05,0.00814431730260211
qtor,4,11,0.000447937451643116,0.0447937451643116
2poa,4,4,0.0001628863460520422,0.01628863460520422
poan,4,3,0.00012216475953903165,0.012216475953903166
1nor,4,20,0.0008144317302602109,0.0814431730260211
1aoo,4,37,0.0015066987009813902,0.15066987009813904
aooo,4,29,0.001180926008877306,0.11809260088773059
1aor,4,22,0.000895874903286232,0.0895874903286232
nto,3,13,0.0005293806246691371,0.05293806246691372
1nto,4,5,0.00020360793256505273,0.020360793256505274
nton,4,4,0.0001628863460520422,0.01628863460520422
poor,4,34,0.0013845339414423586,0.13845339414423585
1too,4,18,0.0007329885572341898,0.07329885572341899
1nnt,4,16,0.0006515453842081688,0.06515453842081688
nntr,4,21,0.0008551533167732215,0.08551533167732214
2poo,4,10,0.00040721586513010546,0.04072158651301055
orr,3,18,0.0007329885572341898,0.07329885572341899
1orr,4,5,0.00020360793256505273,0.020360793256505274
orrn,4,17,0.0006922669707211793,0.06922669707211793
1tt,3,14,0.0005701022111821477,0.05701022111821477
1ttr,4,6,0.0002443295190780633,0.02443295190780633
1oot,4,30,0.0012216475953903164,0.12216475953903165
torr,4,4,0.0001628863460520422,0.01628863460520422
soor,4,18,0.0007329885572341898,0.07329885572341899
1nns,4,3,0.00012216475953903165,0.012216475953903166
nnsr,4,3,0.00012216475953903165,0.012216475953903166
2otr,4,37,0.0015066987009813902,0.15066987009813904
aoon,4,2,8.14431730260211e-05,0.00814431730260211
aot,3,6,0.0002443295190780633,0.02443295190780633
tpot,4,3,0.00012216475953903165,0.012216475953903166
tnos,4,2,8.14431730260211e-05,0.00814431730260211
rs,2,4,0.0001628863460520422,0.01628863460520422
ors,3,2,8.14431730260211e-05,0.00814431730260211
rsn,3,1,4.072158651301055e-05,0.004072158651301055
oors,4,2,8.14431730260211e-05,0.00814431730260211
orsn,4,1,4.072158651301055e-05,0.004072158651301055
1ott,4,3,0.00012216475953903165,0.012216475953903166
oqt,3,5,0.00020360793256505273,0.020360793256505274
toq,3,13,0.0005293806246691371,0.05293806246691372
2oqt,4,3,0.00012216475953903165,0.012216475953903166
oqto,4,1,4.072158651301055e-05,0.004072158651301055
qtoq,4,2,8.14431730260211e-05,0.00814431730260211
toqr,4,3,0.00012216475953903165,0.012216475953903166
anr,3,1,4.072158651301055e-05,0.004072158651301055
1oan,4,1,4.072158651301055e-05,0.004072158651301055
oanr,4,1,4.072158651301055e-05,0.004072158651301055
anrn,4,1,4.072158651301055e-05,0.004072158651301055
qtq,3,6,0.0002443295190780633,0.02443295190780633
2qtq,4,4,0.0001628863460520422,0.01628863460520422
qtqn,4,1,4.072158651301055e-05,0.004072158651301055
3tqr,4,23,0.0009365964897992425,0.09365964897992425
sop,3,5,0.00020360793256505273,0.020360793256505274
opp,3,7,0.00028505110559107384,0.028505110559107386
1sop,4,1,4.072158651301055e-05,0.004072158651301055
sopp,4,1,4.072158651301055e-05,0.004072158651301055
oppo,4,5,0.00020360793256505273,0.020360793256505274
ppoo,4,7,0.00028505110559107384,0.028505110559107386
pn,2,8,0.0003257726921040844,0.03257726921040844
opn,3,7,0.00028505110559107384,0.028505110559107386
pns,3,1,4.072158651301055e-05,0.004072158651301055
1opn,4,2,8.14431730260211e-05,0.00814431730260211
opns,4,1,4.072158651301055e-05,0.004072158651301055
d,1,9,0.0003664942786170949,0.036649427861709494
od,2,3,0.00012216475953903165,0.012216475953903166
do,2,2,8.14431730260211e-05,0.00814431730260211
ood,3,3,0.00012216475953903165,0.012216475953903166
odo,3,2,8.14431730260211e-05,0.00814431730260211
doo,3,1,4.072158651301055e-05,0.004072158651301055
1ood,4,1,4.072158651301055e-05,0.004072158651301055
oodo,4,2,8.14431730260211e-05,0.00814431730260211
odoo,4,1,4.072158651301055e-05,0.004072158651301055
aon,3,12,0.0004886590381561266,0.04886590381561266
1noo,4,7,0.00028505110559107384,0.028505110559107386
1oso,4,36,0.0014659771144683797,0.14659771144683797
osoo,4,28,0.0011402044223642954,0.11402044223642954
aos,3,13,0.0005293806246691371,0.05293806246691372
1aos,4,6,0.0002443295190780633,0.02443295190780633
aosr,4,4,0.0001628863460520422,0.01628863460520422
3ts,3,15,0.0006108237976951582,0.061082379769515825
3tsr,4,7,0.00028505110559107384,0.028505110559107386
rnnt,4,4,0.0001628863460520422,0.01628863460520422
3at,3,1,4.072158651301055e-05,0.004072158651301055
ato,3,4,0.0001628863460520422,0.01628863460520422
3ato,4,1,4.072158651301055e-05,0.004072158651301055
atoo,4,2,8.14431730260211e-05,0.00814431730260211
ttoo,4,5,0.00020360793256505273,0.020360793256505274
3otr,4,3,0.00012216475953903165,0.012216475953903166
1nts,4,3,0.00012216475953903165,0.012216475953903166
ntsr,4,6,0.0002443295190780633,0.02443295190780633
3tnr,4,3,0.00012216475953903165,0.012216475953903166
2no,3,11,0.000447937451643116,0.0447937451643116
2not,4,1,4.072158651301055e-05,0.004072158651301055
2qr,3,7,0.00028505110559107384,0.028505110559107386
nso,3,13,0.0005293806246691371,0.05293806246691372
rnso,4,3,0.00012216475953903165,0.012216475953903166
nsor,4,3,0.00012216475953903165,0.012216475953903166
oro,3,10,0.00040721586513010546,0.04072158651301055
2oro,4,8,0.0003257726921040844,0.03257726921040844
orot,4,9,0.0003664942786170949,0.036649427861709494
rotr,4,4,0.0001628863460520422,0.01628863460520422
nar,3,13,0.0005293806246691371,0.05293806246691372
1nar,4,7,0.00028505110559107384,0.028505110559107386
narn,4,13,0.0005293806246691371,0.05293806246691372
sot,3,3,0.00012216475953903165,0.012216475953903166
1sot,4,1,4.072158651301055e-05,0.004072158651301055
sotr,4,2,8.14431730260211e-05,0.00814431730260211
rnnn,4,23,0.0009365964897992425,0.09365964897992425
osn,3,19,0.0007737101437472004,0.07737101437472003
sno,3,5,0.00020360793256505273,0.020360793256505274
1tos,4,4,0.0001628863460520422,0.01628863460520422
tosn,4,3,0.00012216475953903165,0.012216475953903166
osno,4,2,8.14431730260211e-05,0.00814431730260211
2r,2,15,0.0006108237976951582,0.061082379769515825
2rn,3,5,0.00020360793256505273,0.020360793256505274
1oto,4,21,0.0008551533167732215,0.08551533167732214
otoa,4,2,8.14431730260211e-05,0.00814431730260211
srr,3,13,0.0005293806246691371,0.05293806246691372
osrr,4,6,0.0002443295190780633,0.02443295190780633
srrn,4,13,0.0005293806246691371,0.05293806246691372
poon,4,21,0.0008551533167732215,0.08551533167732214
oono,4,4,0.0001628863460520422,0.01628863460520422
o1,2,5,0.00020360793256505273,0.020360793256505274
1o1,3,2,8.14431730260211e-05,0.00814431730260211
o1o,3,4,0.0001628863460520422,0.01628863460520422
1sor,4,14,0.0005701022111821477,0.05701022111821477
osa,3,5,0.00020360793256505273,0.020360793256505274
aosa,4,1,4.072158651301055e-05,0.004072158651301055
1nos,4,8,0.0003257726921040844,0.03257726921040844
otns,4,7,0.00028505110559107384,0.028505110559107386
3oto,4,2,8.14431730260211e-05,0.00814431730260211
1orq,4,4,0.0001628863460520422,0.01628863460520422
pt,2,4,0.0001628863460520422,0.01628863460520422
opt,3,4,0.0001628863460520422,0.01628863460520422
ptr,3,3,0.00012216475953903165,0.012216475953903166
1opt,4,3,0.00012216475953903165,0.012216475953903166
optr,4,3,0.00012216475953903165,0.012216475953903166
ptrn,4,3,0.00012216475953903165,0.012216475953903166
1sp,3,25,0.0010180396628252637,0.10180396628252637
1spo,4,20,0.0008144317302602109,0.0814431730260211
1ar,3,9,0.0003664942786170949,0.036649427861709494
nrq,3,7,0.00028505110559107384,0.028505110559107386
1nrq,4,5,0.00020360793256505273,0.020360793256505274
nrqn,4,6,0.0002443295190780633,0.02443295190780633
3ta,3,13,0.0005293806246691371,0.05293806246691372
1qto,4,7,0.00028505110559107384,0.028505110559107386
tap,3,7,0.00028505110559107384,0.028505110559107386
2tap,4,5,0.00020360793256505273,0.020360793256505274
tapo,4,7,0.00028505110559107384,0.028505110559107386
apor,4,8,0.0003257726921040844,0.03257726921040844
osor,4,13,0.0005293806246691371,0.05293806246691372
2oto,4,19,0.0007737101437472004,0.07737101437472003
1qo,3,16,0.0006515453842081688,0.06515453842081688
qoo,3,15,0.0006108237976951582,0.061082379769515825
1qoo,4,4,0.0001628863460520422,0.01628863460520422
qooo,4,3,0.00012216475953903165,0.012216475953903166
orno,4,11,0.000447937451643116,0.0447937451643116
rnos,4,9,0.0003664942786170949,0.036649427861709494
1as,3,6,0.0002443295190780633,0.02443295190780633
aso,3,7,0.00028505110559107384,0.028505110559107386
1oao,4,15,0.0006108237976951582,0.061082379769515825
oaoo,4,15,0.0006108237976951582,0.05701022111821477
1aa,3,2,8.14431730260211e-05,0.00814431730260211
1aap,4,1,4.072158651301055e-05,0.004072158651301055
soot,4,1,4.072158651301055e-05,0.004072158651301055
ootq,4,2,8.14431730260211e-05,0.00814431730260211
noos,4,3,0.00012216475953903165,0.012216475953903166
1rno,4,7,0.00028505110559107384,0.028505110559107386
don,3,1,4.072158651301055e-05,0.004072158651301055
oood,4,2,8.14431730260211e-05,0.00814431730260211
odon,4,1,4.072158651301055e-05,0.004072158651301055
3oo,3,10,0.00040721586513010546,0.04072158651301055
3oon,4,2,8.14431730260211e-05,0.00814431730260211
oons,4,10,0.00040721586513010546,0.04072158651301055
1oar,4,27,0.0010994828358512848,0.10994828358512848
otoo,4,11,0.000447937451643116,0.0447937451643116
2trq,4,5,0.00020360793256505273,0.020360793256505274
1nq,3,33,0.001343812354929348,0.13438123549293482
1nqr,4,6,0.0002443295190780633,0.02443295190780633
poto,4,4,0.0001628863460520422,0.01628863460520422
oaor,4,8,0.0003257726921040844,0.03257726921040844
rqq,3,1,4.072158651301055e-05,0.004072158651301055
2orq,4,5,0.00020360793256505273,0.020360793256505274
orqq,4,1,4.072158651301055e-05,0.004072158651301055
rqqt,4,1,4.072158651301055e-05,0.004072158651301055
3otn,4,5,0.00020360793256505273,0.020360793256505274
noa,3,7,0.00028505110559107384,0.028505110559107386
3nno,4,1,4.072158651301055e-05,0.004072158651301055
nnoa,4,1,4.072158651301055e-05,0.004072158651301055
noan,4,2,8.14431730260211e-05,0.00814431730260211
srnq,4,2,8.14431730260211e-05,0.00814431730260211
nrqt,4,1,4.072158651301055e-05,0.004072158651301055
rqtn,4,1,4.072158651301055e-05,0.004072158651301055
nsrr,4,3,0.00012216475953903165,0.012216475953903166
3qtr,4,10,0.00040721586513010546,0.04072158651301055
nao,3,7,0.00028505110559107384,0.028505110559107386
1nao,4,1,4.072158651301055e-05,0.004072158651301055
naoo,4,2,8.14431730260211e-05,0.00814431730260211
2qo,3,11,0.000447937451643116,0.0447937451643116
2qor,4,8,0.0003257726921040844,0.03257726921040844
2ono,4,5,0.00020360793256505273,0.020360793256505274
onos,4,3,0.00012216475953903165,0.012216475953903166
oqn,3,6,0.0002443295190780633,0.02443295190780633
pots,4,4,0.0001628863460520422,0.01628863460520422
1ton,4,2,8.14431730260211e-05,0.00814431730260211
qnt,3,5,0.00020360793256505273,0.020360793256505274
1nqn,4,1,4.072158651301055e-05,0.004072158651301055
nqnt,4,1,4.072158651301055e-05,0.004072158651301055
qntr,4,3,0.00012216475953903165,0.012216475953903166
ornr,4,16,0.0006515453842081688,0.06515453842081688
qon,3,10,0.00040721586513010546,0.04072158651301055
2tqo,4,7,0.00028505110559107384,0.028505110559107386
tqon,4,4,0.0001628863460520422,0.01628863460520422
3po,3,11,0.000447937451643116,0.0447937451643116
3poo,4,3,0.00012216475953903165,0.012216475953903166
oorq,4,3,0.00012216475953903165,0.012216475953903166
orqt,4,7,0.00028505110559107384,0.028505110559107386
rqtt,4,2,8.14431730260211e-05,0.00814431730260211
qttr,4,3,0.00012216475953903165,0.012216475953903166
ota,3,6,0.0002443295190780633,0.02443295190780633
1ota,4,2,8.14431730260211e-05,0.00814431730260211
otar,4,3,0.00012216475953903165,0.012216475953903166
1tto,4,3,0.00012216475953903165,0.012216475953903166
ttoa,4,1,4.072158651301055e-05,0.004072158651301055
nqo,3,10,0.00040721586513010546,0.04072158651301055
tnqo,4,1,4.072158651301055e-05,0.004072158651301055
nqon,4,1,4.072158651301055e-05,0.004072158651301055
tnor,4,6,0.0002443295190780633,0.02443295190780633
qnr,3,9,0.0003664942786170949,0.036649427861709494
tqnr,4,1,4.072158651301055e-05,0.004072158651301055
qnrn,4,8,0.0003257726921040844,0.03257726921040844
tntn,4,5,0.00020360793256505273,0.020360793256505274
tqq,3,3,0.00012216475953903165,0.012216475953903166
qtns,4,4,0.0001628863460520422,0.01628863460520422
tpor,4,13,0.0005293806246691371,0.05293806246691372
torq,4,4,0.0001628863460520422,0.01628863460520422
ornt,4,7,0.00028505110559107384,0.028505110559107386
rntn,4,6,0.0002443295190780633,0.02443295190780633
sar,3,4,0.0001628863460520422,0.01628863460520422
tosa,4,1,4.072158651301055e-05,0.004072158651301055
osar,4,2,8.14431730260211e-05,0.00814431730260211
sarn,4,4,0.0001628863460520422,0.01628863460520422
tqnt,4,1,4.072158651301055e-05,0.004072158651301055
ss,2,9,0.0003664942786170949,0.036649427861709494
oss,3,6,0.0002443295190780633,0.02443295190780633
ssr,3,2,8.14431730260211e-05,0.00814431730260211
ror,3,4,0.0001628863460520422,0.01628863460520422
rtr,3,39,0.0015881418740074113,0.15474202874944007
2oss,4,1,4.072158651301055e-05,0.004072158651301055
ossr,4,1,4.072158651301055e-05,0.004072158651301055
ssro,4,1,4.072158651301055e-05,0.004072158651301055
sror,4,1,4.072158651301055e-05,0.004072158651301055
rort,4,3,0.00012216475953903165,0.012216475953903166
ortr,4,30,0.0012216475953903164,0.12216475953903165
rtrn,4,37,0.0015066987009813902,0.15066987009813904
tnnt,4,6,0.0002443295190780633,0.02443295190780633
nntn,4,5,0.00020360793256505273,0.020360793256505274
toao,4,4,0.0001628863460520422,0.01628863460520422
rnqr,4,4,0.0001628863460520422,0.01628863460520422
2nq,3,3,0.00012216475953903165,0.012216475953903166
qno,3,3,0.00012216475953903165,0.012216475953903166
2nqn,4,2,8.14431730260211e-05,0.00814431730260211
nqno,4,1,4.072158651301055e-05,0.004072158651301055
qnor,4,2,8.14431730260211e-05,0.00814431730260211
n4,2,1,4.072158651301055e-05,0.004072158651301055
4n,2,3,0.00012216475953903165,0.012216475953903166
2rt,3,1,4.072158651301055e-05,0.004072158651301055
rn4,3,1,4.072158651301055e-05,0.004072158651301055
n4n,3,1,4.072158651301055e-05,0.004072158651301055
4ns,3,1,4.072158651301055e-05,0.004072158651301055
2rtr,4,1,4.072158651301055e-05,0.004072158651301055
trn4,4,1,4.072158651301055e-05,0.004072158651301055
rn4n,4,1,4.072158651301055e-05,0.004072158651301055
n4ns,4,1,4.072158651301055e-05,0.004072158651301055
rnno,4,4,0.0001628863460520422,0.01628863460520422
nnon,4,7,0.00028505110559107384,0.028505110559107386
tqt,3,15,0.0006108237976951582,0.061082379769515825
2tqt,4,8,0.0003257726921040844,0.03257726921040844
tqtn,4,6,0.0002443295190780633,0.02443295190780633
2toq,4,7,0.00028505110559107384,0.028505110559107386
tqns,4,11,0.000447937451643116,0.0447937451643116
2ns,3,4,0.0001628863460520422,0.01628863460520422
nsp,3,3,0.00012216475953903165,0.012216475953903166
2nsp,4,2,8.14431730260211e-05,0.00814431730260211
nspo,4,3,0.00012216475953903165,0.012216475953903166
2qn,3,3,0.00012216475953903165,0.012216475953903166
2qnr,4,2,8.14431730260211e-05,0.00814431730260211
potq,4,3,0.00012216475953903165,0.012216475953903166
tnsn,4,3,0.00012216475953903165,0.012216475953903166
qrnr,4,4,0.0001628863460520422,0.01628863460520422
trna,4,8,0.0003257726921040844,0.03257726921040844
2nt,3,5,0.00020360793256505273,0.020360793256505274
ooot,4,10,0.00040721586513010546,0.04072158651301055
tna,3,9,0.0003664942786170949,0.036649427861709494
oonn,4,10,0.00040721586513010546,0.04072158651301055
onnn,4,5,0.00020360793256505273,0.020360793256505274
nnnn,4,10,0.00040721586513010546,0.036649427861709494
2na,3,5,0.00020360793256505273,0.020360793256505274
2nar,4,2,8.14431730260211e-05,0.00814431730260211
nnr,3,9,0.0003664942786170949,0.036649427861709494
tnnr,4,3,0.00012216475953903165,0.012216475953903166
nnrn,4,9,0.0003664942786170949,0.036649427861709494
atr,3,3,0.00012216475953903165,0.012216475953903166
2atr,4,1,4.072158651301055e-05,0.004072158651301055
atrn,4,2,8.14431730260211e-05,0.00814431730260211
ttnr,4,1,4.072158651301055e-05,0.004072158651301055
qtrt,4,4,0.0001628863460520422,0.01628863460520422
trtn,4,4,0.0001628863460520422,0.01628863460520422
nat,3,1,4.072158651301055e-05,0.004072158651301055
2tna,4,3,0.00012216475953903165,0.012216475953903166
tnat,4,1,4.072158651301055e-05,0.004072158651301055
natn,4,1,4.072158651301055e-05,0.004072158651301055
2trr,4,7,0.00028505110559107384,0.028505110559107386
o2,2,2,8.14431730260211e-05,0.00814431730260211
o2r,3,1,4.072158651301055e-05,0.004072158651301055
o2rn,4,1,4.072158651301055e-05,0.004072158651301055
2rnq,4,1,4.072158651301055e-05,0.004072158651301055
rnqo,4,3,0.00012216475953903165,0.012216475953903166
nqor,4,4,0.0001628863460520422,0.01628863460520422
2noo,4,2,8.14431730260211e-05,0.00814431730260211
noor,4,3,0.00012216475953903165,0.012216475953903166
oosa,4,1,4.072158651301055e-05,0.004072158651301055
ont,3,3,0.00012216475953903165,0.012216475953903166
tont,4,1,4.072158651301055e-05,0.004072158651301055
ontr,4,2,8.14431730260211e-05,0.00814431730260211
oaon,4,6,0.0002443295190780633,0.02443295190780633
tnoa,4,2,8.14431730260211e-05,0.00814431730260211
rnnq,4,2,8.14431730260211e-05,0.00814431730260211
nnqo,4,2,8.14431730260211e-05,0.00814431730260211
nqoo,4,2,8.14431730260211e-05,0.00814431730260211
qoos,4,2,8.14431730260211e-05,0.00814431730260211
rnp,3,5,0.00020360793256505273,0.020360793256505274
trnp,4,4,0.0001628863460520422,0.01628863460520422
rnpo,4,5,0.00020360793256505273,0.020360793256505274
tpp,3,4,0.0001628863460520422,0.01628863460520422
2tpp,4,1,4.072158651301055e-05,0.004072158651301055
tppo,4,4,0.0001628863460520422,0.01628863460520422
2qts,4,8,0.0003257726921040844,0.03257726921040844
qrt,3,6,0.0002443295190780633,0.02443295190780633
oqrt,4,2,8.14431730260211e-05,0.00814431730260211
tnqr,4,1,4.072158651301055e-05,0.004072158651301055
tro,3,4,0.0001628863460520422,0.01628863460520422
2tro,4,2,8.14431730260211e-05,0.00814431730260211
troo,4,1,4.072158651301055e-05,0.004072158651301055
toan,4,4,0.0001628863460520422,0.01628863460520422
qop,3,1,4.072158651301055e-05,0.004072158651301055
tqop,4,1,4.072158651301055e-05,0.004072158651301055
pono,4,1,4.072158651301055e-05,0.004072158651301055
qta,3,9,0.0003664942786170949,0.036649427861709494
ta2,3,1,4.072158651301055e-05,0.004072158651301055
a2p,3,1,4.072158651301055e-05,0.004072158651301055
2qta,4,8,0.0003257726921040844,0.03257726921040844
qta2,4,1,4.072158651301055e-05,0.004072158651301055
ta2p,4,1,4.072158651301055e-05,0.004072158651301055
a2po,4,1,4.072158651301055e-05,0.004072158651301055
r2q,3,1,4.072158651301055e-05,0.004072158651301055
r2qt,4,1,4.072158651301055e-05,0.004072158651301055
2nn,3,11,0.000447937451643116,0.0447937451643116
rrnn,4,5,0.00020360793256505273,0.020360793256505274
apoo,4,14,0.0005701022111821477,0.05701022111821477
ooss,4,3,0.00012216475953903165,0.012216475953903166
3tt,3,5,0.00020360793256505273,0.020360793256505274
3ttr,4,2,8.14431730260211e-05,0.00814431730260211
trs,3,1,4.072158651301055e-05,0.004072158651301055
ttrs,4,1,4.072158651301055e-05,0.004072158651301055
s1,2,1,4.072158651301055e-05,0.004072158651301055
2s1,3,1,4.072158651301055e-05,0.004072158651301055
s1o,3,1,4.072158651301055e-05,0.004072158651301055
2s1o,4,1,4.072158651301055e-05,0.004072158651301055
s1oo,4,1,4.072158651301055e-05,0.004072158651301055
oqq,3,3,0.00012216475953903165,0.012216475953903166
toqq,4,2,8.14431730260211e-05,0.00814431730260211
oqqt,4,2,8.14431730260211e-05,0.00814431730260211
2an,3,1,4.072158651301055e-05,0.004072158651301055
ann,3,6,0.0002443295190780633,0.02443295190780633
ra,2,2,8.14431730260211e-05,0.00814431730260211
tra,3,1,4.072158651301055e-05,0.004072158651301055
ran,3,2,8.14431730260211e-05,0.00814431730260211
2tra,4,1,4.072158651301055e-05,0.004072158651301055
tran,4,1,4.072158651301055e-05,0.004072158651301055
tnto,4,1,4.072158651301055e-05,0.004072158651301055
oqo,3,6,0.0002443295190780633,0.02443295190780633
2oqo,4,1,4.072158651301055e-05,0.004072158651301055
oqoo,4,2,8.14431730260211e-05,0.00814431730260211
qoon,4,3,0.00012216475953903165,0.012216475953903166
t1,2,7,0.00028505110559107384,0.028505110559107386
2t1,3,4,0.0001628863460520422,0.01628863460520422
t1t,3,2,8.14431730260211e-05,0.00814431730260211
2t1t,4,1,4.072158651301055e-05,0.004072158651301055
t1to,4,1,4.072158651301055e-05,0.004072158651301055
aao,3,2,8.14431730260211e-05,0.00814431730260211
toaa,4,3,0.00012216475953903165,0.012216475953903166
oaao,4,1,4.072158651301055e-05,0.004072158651301055
aaoo,4,1,4.072158651301055e-05,0.004072158651301055
nnoo,4,5,0.00020360793256505273,0.020360793256505274
aan,3,1,4.072158651301055e-05,0.004072158651301055
oaan,4,1,4.072158651301055e-05,0.004072158651301055
taoo,4,6,0.0002443295190780633,0.02443295190780633
potn,4,5,0.00020360793256505273,0.020360793256505274
toqo,4,2,8.14431730260211e-05,0.00814431730260211
oqon,4,1,4.072158651301055e-05,0.004072158651301055
qonr,4,1,4.072158651301055e-05,0.004072158651301055
qtrq,4,4,0.0001628863460520422,0.01628863460520422
2sr,3,6,0.0002443295190780633,0.02443295190780633
art,3,3,0.00012216475953903165,0.012216475953903166
oart,4,1,4.072158651301055e-05,0.004072158651301055
artn,4,1,4.072158651301055e-05,0.004072158651301055
rnar,4,4,0.0001628863460520422,0.01628863460520422
arnr,4,2,8.14431730260211e-05,0.00814431730260211
tnts,4,1,4.072158651301055e-05,0.004072158651301055
srnr,4,3,0.00012216475953903165,0.012216475953903166
atq,3,1,4.072158651301055e-05,0.004072158651301055
2atq,4,1,4.072158651301055e-05,0.004072158651301055
atqn,4,1,4.072158651301055e-05,0.004072158651301055
oat,3,2,8.14431730260211e-05,0.00814431730260211
poat,4,1,4.072158651301055e-05,0.004072158651301055
oatr,4,1,4.072158651301055e-05,0.004072158651301055
atrr,4,1,4.072158651301055e-05,0.004072158651301055
ara,3,1,4.072158651301055e-05,0.004072158651301055
oara,4,1,4.072158651301055e-05,0.004072158651301055
aran,4,1,4.072158651301055e-05,0.004072158651301055
rann,4,1,4.072158651301055e-05,0.004072158651301055
tqrt,4,3,0.00012216475953903165,0.012216475953903166
qrtn,4,2,8.14431730260211e-05,0.00814431730260211
2qrn,4,2,8.14431730260211e-05,0.00814431730260211
qrnq,4,1,4.072158651301055e-05,0.004072158651301055
tnan,4,1,4.072158651301055e-05,0.004072158651301055
otrq,4,4,0.0001628863460520422,0.01628863460520422
2nno,4,1,4.072158651301055e-05,0.004072158651301055
nonn,4,3,0.00012216475953903165,0.012216475953903166
aop,3,5,0.00020360793256505273,0.020360793256505274
taop,4,1,4.072158651301055e-05,0.004072158651301055
aopo,4,2,8.14431730260211e-05,0.00814431730260211
toqn,4,3,0.00012216475953903165,0.012216475953903166
otor,4,8,0.0003257726921040844,0.03257726921040844
oort,4,6,0.0002443295190780633,0.02443295190780633
qtsn,4,4,0.0001628863460520422,0.01628863460520422
rp,2,4,0.0001628863460520422,0.01628863460520422
orp,3,2,8.14431730260211e-05,0.00814431730260211
rpo,3,4,0.0001628863460520422,0.01628863460520422
oorp,4,1,4.072158651301055e-05,0.004072158651301055
orpo,4,2,8.14431730260211e-05,0.00814431730260211
rpor,4,1,4.072158651301055e-05,0.004072158651301055
rqtr,4,7,0.00028505110559107384,0.028505110559107386
r2n,3,1,4.072158651301055e-05,0.004072158651301055
r2nn,4,1,4.072158651301055e-05,0.004072158651301055
2nns,4,1,4.072158651301055e-05,0.004072158651301055
rts,3,2,8.14431730260211e-05,0.00814431730260211
srq,3,9,0.0003664942786170949,0.036649427861709494
orts,4,1,4.072158651301055e-05,0.004072158651301055
rtsr,4,1,4.072158651301055e-05,0.004072158651301055
tsrq,4,2,8.14431730260211e-05,0.00814431730260211
srqn,4,9,0.0003664942786170949,0.036649427861709494
tnoo,4,3,0.00012216475953903165,0.012216475953903166
3tns,4,1,4.072158651301055e-05,0.004072158651301055
sns,3,2,8.14431730260211e-05,0.00814431730260211
2osn,4,1,4.072158651301055e-05,0.004072158651301055
osns,4,2,8.14431730260211e-05,0.00814431730260211
nro,3,1,4.072158651301055e-05,0.004072158651301055
rop,3,1,4.072158651301055e-05,0.004072158651301055
ptn,3,1,4.072158651301055e-05,0.004072158651301055
2onr,4,1,4.072158651301055e-05,0.004072158651301055
onro,4,1,4.072158651301055e-05,0.004072158651301055
nrop,4,1,4.072158651301055e-05,0.004072158651301055
ropt,4,1,4.072158651301055e-05,0.004072158651301055
optn,4,1,4.072158651301055e-05,0.004072158651301055
